"battle","battle_name","belligerent","commander","commander_dbpedia","rank"
"VA042","Buckland Mills","CS","J.E.B. Stuart","http://dbpedia.org/resource/J.E.B._Stuart","Major General"
"VA043","Rappahannock Station","US","George G. Meade","http://dbpedia.org/resource/George_Meade","Major General"
"VA043","Rappahannock Station","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA044","Mine Run","US","George G. Meade","http://dbpedia.org/resource/George_Meade","Major General"
"VA044","Mine Run","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA045","Mortons Ford","US","J.C. Caldwell","http://dbpedia.org/resource/John_C._Caldwell","Brigadier General"
"VA045","Mortons Ford","CS","Richard S. Ewell","http://dbpedia.org/resource/Richard_S._Ewell","Lieutenant General"
"VA046","Wilderness","US","George G. Meade","http://dbpedia.org/resource/George_Meade","Major General"
"VA046","Wilderness","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA046","Wilderness","US","Ulysses S. Grant","http://dbpedia.org/resource/Ulysses_S._Grant","Lieutenant General"
"VA047","Port Walthall Junction","US","Benjamin Butler","http://dbpedia.org/resource/Benjamin_Franklin_Butler_(politician)","Major General"
"VA047","Port Walthall Junction","CS","Johnson Hagood","http://dbpedia.org/resource/Johnson_Hagood_(governor)","Brigadier General"
"VA048","Spotsylvania Court House","US","George G. Meade","http://dbpedia.org/resource/George_Meade","Major General"
"VA048","Spotsylvania Court House","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
"VA048","Spotsylvania Court House","US","Ulysses S. Grant","http://dbpedia.org/resource/Ulysses_S._Grant","Lieutenant General"
"VA049","Cloyds Mountain","CS","Albert Jenkins","http://dbpedia.org/resource/Albert_G._Jenkins","Brigadier General"
"VA049","Cloyds Mountain","US","George Crook","http://dbpedia.org/resource/George_Crook","Brigadier General"
"VA050","Swift Creek","US","Benjamin Butler","http://dbpedia.org/resource/Benjamin_Franklin_Butler_(politician)","Major General"
"VA050","Swift Creek","CS","P.G.T. Beauregard","http://dbpedia.org/resource/P._G._T._Beauregard","General"
"VA051","Chester Station","US","Benjamin Butler","http://dbpedia.org/resource/Benjamin_Franklin_Butler_(politician)","Major General"
"VA051","Chester Station","CS","P.G.T. Beauregard","http://dbpedia.org/resource/P._G._T._Beauregard","General"
"VA052","Yellow Tavern","CS","J.E.B. Stuart","http://dbpedia.org/resource/J.E.B._Stuart","Major General"
"VA052","Yellow Tavern","US","Philip Sheridan","http://dbpedia.org/resource/Philip_Sheridan","Major General"
"VA053","Proctors Creek","US","Benjamin Butler","http://dbpedia.org/resource/Benjamin_Franklin_Butler_(politician)","Major General"
"VA053","Proctors Creek","CS","P.G.T. Beauregard","http://dbpedia.org/resource/P._G._T._Beauregard","General"
"VA054","Ware Bottom Church","US","Benjamin Butler","http://dbpedia.org/resource/Benjamin_Franklin_Butler_(politician)","Major General"
"VA054","Ware Bottom Church","CS","P.G.T. Beauregard","http://dbpedia.org/resource/P._G._T._Beauregard","General"
"VA055","North Anna","US","George G. Meade","http://dbpedia.org/resource/George_Meade","Major General"
"VA055","North Anna","CS","Robert E. Lee","http://dbpedia.org/resource/Robert_E._Lee","General"
